icd103,chapter,l1,l2
R86,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in specimens from male genital organs
R87,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in specimens from female genital organs
R88,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,TBC
R89,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on examination of other body fluids; substances and tissues; without diagnosis,Abnormal findings in specimens from other organs; systems and tissues
R90,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on diagnostic imaging and in function studies; without diagnosis,Abnormal findings on diagnostic imaging of central nervous system
R91,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on diagnostic imaging and in function studies; without diagnosis,Abnormal findings on diagnostic imaging of lung
R92,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on diagnostic imaging and in function studies; without diagnosis,Abnormal findings on diagnostic imaging of breast
R93,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on diagnostic imaging and in function studies; without diagnosis,Abnormal findings on diagnostic imaging of other body structures
R94,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Abnormal findings on diagnostic imaging and in function studies; without diagnosis,Abnormal results of function studies
R95,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Ill-defined and unknown causes of mortality,Sudden infant death syndrome
R96,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Ill-defined and unknown causes of mortality,TBC
R97,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Ill-defined and unknown causes of mortality,TBC
R98,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Ill-defined and unknown causes of mortality,TBC
R99,XVIII Symptoms; signs and abnormal clinical and laboratory findings; not elsewhere classified,Ill-defined and unknown causes of mortality,TBC
S00,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Superficial injury of head
S01,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Open wound of head
S02,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Fracture of skull and facial bones
S03,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Dislocation; sprain and strain of joints and ligaments of head
S04,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Injury of cranial nerves
S05,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Injury of eye and orbit
S06,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Intracranial injury
S07,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Crushing injury of head
S08,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Traumatic amputation of part of head
S09,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the head,Other and unspecified injuries of head
S10,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Superficial injury of neck
S11,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Open wound of neck
S12,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Fracture of neck
S13,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Dislocation; sprain and strain of joints and ligaments at neck level
S14,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Injury of nerves and spinal cord at neck level
S15,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Injury of blood vessels at neck level
S16,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Injury of muscle and tendon at neck level
S17,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Crushing injury of neck
S18,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,TBC
S19,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the neck,Other and unspecified injuries of neck
S20,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Superficial injury of thorax
S21,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Open wound of thorax
S22,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Fracture of rib(s); sternum and thoracic spine
S23,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Dislocation; sprain and strain of joints and ligaments of thorax
S24,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Injury of nerves and spinal cord at thorax level
S25,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Injury of blood vessels of thorax
S26,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Injury of heart
S27,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Injury of other and unspecified intrathoracic organs
S28,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Crushing injury of thorax and traumatic amputation of part of thorax
S29,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the thorax,Other and unspecified injuries of thorax
S30,XIX Injury; poisoning and certain other consequences of external causes,Injuries to the abdomen; lower back; lumbar spine and pelvis,Superficial injury of abdomen; lower back and pelvis
